Front,Back
True or False: Dragonflies are more closely related to crickets than to cockroaches simply because their labels are placed closer together on a phylogenetic tree.,False
"On a phylogenetic tree, why are ants considered as closely related to dragonflies as crickets are to dragonflies?",Ants and crickets share a common ancestor at the same node relative to dragonflies.
Which two traits are shared by both members of the domains Bacteria and Archaea?,Lack of a nuclear envelope and presence of a plasma membrane.
Prokaryotes are divided into which two distinct biological domains?,Bacteria and Archaea
What is the most likely classification for a single-celled organism found in a hot thermal vent that has a cell wall but lacks a nucleus?,Archaea
"In terms of sheer numbers, which group of organisms is considered the most numerous on Earth?",Prokaryotes
Which three characteristics generally describe all existing species of bacteria?,"Tiny, ubiquitous, and metabolically diverse."
"According to Koch's Postulates, what must researchers do after isolating a bacterium in pure culture and inducing disease in a healthy animal?",Isolate the bacterium from the infected experimental animal and demonstrate it is the same as the original organism.
What term describes the chemicals naturally secreted by soil fungi that inhibit the growth of bacteria?,Antibiotics
What is the primary objective of bioremediation?,To clean up areas polluted with toxic compounds by using living organisms like bacteria.
Adding nonindigenous microbial hydrocarbon degraders to an oil spill is an example of what bioremediation strategy?,Seeding
What is the most efficient method for identifying the bacteria on a surface and determining their specific food source?,Enrichment culture
Why might a hospital patient receiving broad-spectrum antibiotics become deficient in certain vitamins?,The antibiotics inhibit the growth of beneficial intestinal bacteria that synthesize nutrients.
What scientific basis did Carl Woese use to divide prokaryotes into two separate domains?,Genetic characteristics such as ribosomal RNA sequences.
What is the most efficient method for determining the total number of different types of bacteria in an environmental sample without culturing them?,Direct sequencing
What is the major structural difference between Gram-positive and Gram-negative bacteria?,The presence or absence of an outer plasma membrane.
Concept: Chemoorganotrophic bacteria,Energy Source: Organic molecules such as sugars.
A prokaryote that obtains energy and carbon solely by decomposing dead organisms is classified as a(n) _____.,Heterotroph and chemotroph
A prokaryote that obtains carbon and energy by ingesting prey is classified as a(n) _____.,Heterotroph and chemotroph
An organism that obtains its energy specifically from light is known as a(n) _____.,Phototroph
Which group of organisms obtains energy by oxidizing inorganic substances and uses that energy to fix carbon dioxide?,Chemoautotrophs (Chemolithoautotrophs)
The purple nonsulfur bacterium Rhodospirillum grows best as a photoheterotroph; what are its most favorable sources of energy and carbon?,"Light and organic compounds (e.g., fructose)."
What is the classification of an organism that uses sulfide ($S^{2-}$) for aerobic respiration and $CO_2$ from the air as its carbon source?,Chemolithoautotroph
"In the context of cellular respiration, what property describes the molecules that serve as final electron acceptors?",They are molecules with low potential energy.
"What is the name of the metabolic process used by some bacteria to produce ATP from lactose, resulting in propionic acid and carbon dioxide?",Fermentation
Which group of bacteria uses methane ($CH_4$) as an electron donor and oxygen ($O_2$) as an electron acceptor during respiration?,Methanotrophs
"If a bacterium can only produce ATP through aerobic respiration, in which environment—sealed or unsealed—would it show growth and acid production?",The unsealed tube only.
Which type of extremophile do researchers often use as a model for the earliest life-forms on Earth?,An anaerobic archaean species.
"In an enrichment culture lacking nitrogen, which type of bacteria will eventually outnumber all others?",Nitrogen-fixing bacteria
How did ancient cyanobacteria change Earth's atmosphere to enable the evolution of aerobic respiration?,Oxygenic photosynthesis significantly increased the amount of oxygen in the atmosphere.
What is the defining characteristic of the Chlamydiales phylum?,Parasitic life cycle
Evidence that a new prokaryote produces oxygen and forms colonies suggests it belongs to which lineage?,Cyanobacteria
Which bacterial lineage is characterized by unusual flagella contained within a structure called the outer sheath?,Spirochaetes (Spirochetes)
Which bacterial group performs 'plantlike' photosynthesis that releases oxygen ($O_2$)?,Cyanobacteria
What is the most reliable method for determining the specific phylum of a newly discovered bacterium?,Determining the ribosomal RNA sequence of the bacteria.
Members of which two archaeal lineages are commonly found in highly acidic environments?,Crenarchaeota and Euryarchaeota
Why is $rRNA$ preferred over $mRNA$ for constructing phylogenetic trees?,"rRNA is found in all organisms and is highly conserved, whereas mRNA transcripts vary greatly."
"How do $Clostridium tetani$ bacteria survive on a rusty nail in an inhospitable, oxygen-rich environment?","They form dormant, resistant structures called endospores."
"In a metagenomic study of a gut sample, which molecule is the most useful for identifying the presence of unknown species?",DNA
Which mechanism of genetic recombination does NOT occur in bacteria?,Meiosis
By what mechanism are viral genes typically introduced into a bacterial genome?,Transduction
Why can eukaryotes not use atmospheric nitrogen ($N_2$) directly for protein synthesis?,The strong triple bond between nitrogen atoms is difficult to break.
The protist lineage is defined as including all eukaryotes EXCEPT for which three groups?,"Animals, land plants, and fungi."
What is the unique component found in the cell walls of Bacteria that is absent in Archaea?,Peptidoglycan
Which temperature and culture condition allows for the maximum growth rate of $Escherichia coli$?,Suspension culture at $37^{\circ}C$.
What do some photosynthetic bacteria use as a source of electrons instead of water?,Hydrogen sulfide ($H_2S$)
What is the term for organisms that use inorganic compounds as electron donors in cellular respiration?,Lithotrophs
How has metagenomic analysis changed the way researchers study microbial diversity?,It allows the study of organisms that cannot be grown in a lab culture.
Why do biologists often use 'energy source' as a synonym for 'electron donor'?,Electron donors are molecules with high potential energy used to generate ATP.
What was the significance of using microbiota-free rats in the study of fecal microbiota transfers (FMT)?,It ensured changes in behavior were caused specifically by the transplanted human microbiome.
How might bacteria living in the gut influence events in the human brain?,By synthesizing chemical messengers or metabolites that travel to the brain.
True or False: Koch's Postulates require that a microbe must be isolated and grown in a pure culture to prove it causes a disease.,True
