Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
2099,What unique characteristic do all deuterostomes have in common?,Multiple Choice,Adults are bilaterally symmetrical.,Embryos have pharyngeal pouches that may or may not form gill slits.,All have a spinal column.,All have specialized head and tail regions.,The pore (blastopore) formed during gastrulation becomes the anus.,5,
2100,Unlike the chordates the Deuterostome phyla of Echinoderms and Hemichordates are only comprised of ___.,Multiple Choice,tetrapod species,marine species,terrestrial species,detritivores,,2,
2101,Echinoderms __________.,Multiple Choice,have an exoskeleton of hard calcareous plates,often use tube feet to move around in their environment,have pharyngeal gill slits and a dorsal hollow nerve cord,circulate hemolymph in their water vascular system,are most often found in freshwater environments,2,
2102,The water vascular system of echinoderms __________.,Multiple Choice,functions as a circulatory system that distributes nutrients to body cells,functions in locomotion and feeding,is bilateral in organization even though the adult animal is not bilaterally symmetrical,moves water through the animal's body during suspension feeding,is analogous to the gastrovascular cavity of flatworms,2,
2103,Which of the following is a characteristic of larval echinoderms? 1. Bilateral symmetry 2. Spiral cleavage 3. Exoskeleton 4. Lophophore 5. Ciliated,Multiple Choice,1 only,1 and 3,2 and 4,1 and 5,5 only,4,
2104,Which of the following classes is comprised of carnivorous predators that are able to extend their stomachs through their mouths to feed?,Multiple Choice,Ophiuroidea,Holothuroidea,Asteroidea,Crinoidea,Echinoidea,3,
2105,For which of the following animal groups are all of the species entirely aquatic?,Multiple Choice,Mollusca,Crustacea,Echinodermata,Nematoda,Platyhelminthes,3,
2106,If kelp farmers wanted to maximize their harvest which type of echinoderm would they be most concerned about in the habitat?,Multiple Choice,Sand dollars,Brittle stars,Sea stars,Sea urchins,Sea cucumbers,4,
2107,"Use the following information to answer the question below.

An elementary school science teacher decided to liven up the classroom with a saltwater aquarium. Knowing that saltwater aquaria can be quite a hassle, the teacher proceeded stepwise. First, the teacher conditioned the water. Next, the teacher decided to stock the tank with various marine invertebrates, including a polychaete, a siliceous sponge, several bivalves, a shrimp, several sea anemones of different types, a colonial hydra, a few coral species, an ectoproct, a sea star, and several herbivorous gastropod varieties. Lastly, she added some vertebrates—a parrotfish and a clownfish. She arranged for daily feedings of copepods and feeder fish.

The bivalves started to die one by one; only the undamaged shells remained. To keep the remaining bivalves alive, the teacher would most likely need to remove the ________.",Multiple Choice,sea anemones,sea star,gastropods,ectoprocts,parrotfish,2,
2108,Which of the following is a characteristic of all chordates at some point during their life cycle?,Multiple Choice,Jaws,Postanal tail,Scales,cranium,Vertebrae,2,
2109,Adult tunicates (urochordates) lack notochords; however larval urochordates have them and use them to ___.,Multiple Choice,aid in swimming; adults are sessile and thus no longer propel themselves,stiffen their bodies; in adults the notochord is replaced by a column of bone,induce tissue differentiation; in adults tissue is already differentiated,organize their nervous systems; adults' nervous systems are fully developed and do not change,,1,
2110,If a tunicate's pharyngeal gill slits were suddenly blocked the animal would have trouble ___.,Multiple Choice,respiring,feeding,moving,respiring and feeding,feeding and moving,4,
2111,You believe that an adult animal you are examining is a vertebrate but concede that it may be an invertebrate chordate. Which of the following would ensure that you are indeed looking at an invertebrate ; NOT a vertebrate chordate?,Multiple Choice,It is able to swim.,It lacks a notochord.,Its notochord functions as an endoskeleton.,It uses its pharyngeal gill slits for feeding,It has a dorsal hollow nerve cord.,4,
2112,"A team of researchers developed a poison effective against lamprey larvae in freshwater cultures. The poison is ingested and causes paralysis by detaching segmental muscles from the skeletal elements. The team wants to test the poison’s effectiveness in streams feeding Lake Michigan, but one critic worries about potential effects on lancelets, which are similar to lampreys in many ways. Why is this concern misplaced?",Multiple Choice,A chemical poisonous to lampreys could not also be toxic to organisms as ancestral as lancelets.,Lamprey larvae and lancelets have very different feeding mechanisms.,Lancelets do not have segmented muscles.,Lancelets live only in saltwater environments.,Lancelets and lamprey larvae eat different kinds of food.,4,
2113,Vertebrates and tunicates share __________.,Multiple Choice,jaws adapted for feeding,a high degree of cephalization,the formation of structures from the neural crest,an endoskeleton that includes a skull,a notochord and a dorsal hollow nerve cord,5,
2114,The vertebrate spinal cord develops from the embryonic __________.,Multiple Choice,notochord,dorsal hollow nerve cord,pharyngeal pouch,coelom,postanal tail,2,
2115,If the midbrain of a fish became damaged it would harm its ability to ___.,Multiple Choice,swim,see,hear,smell,eat,2,
2116,Which of the following are the most abundant and diverse of the extant vertebrates?,Multiple Choice,Ray-finned fishes,Birds,Nonbird reptiles,Mammals,,1,
2117,Which of the following characteristics are shared by hagfish and lamprey?,Multiple Choice,A rasping tongue,Paired fins,Jaws,A well-developed notochord,,4,
2118,Terry takes the body of the snakelike organism and slices it open along its dorsal side. If it is a hagfish what should Terry see?,Multiple Choice,A well-developed series of bony vertebrae surrounding the spinal cord,A well-developed series of cartilaginous vertebrae surrounding the spinal cord,A tube of cartilage (surrounding the notochord) with dorsal projections on both sides of the spinal cord,A notochord located underneath the spinal cord,,4,
2119,A new species of aquatic chordate is discovered that closely resembles an ancient form. It has the following characteristics: external armor of bony plates ; no paired lateral fins ; and a suspension-feeding mode of nutrition. In addition to these ; it will probably have which of the following characteristics?,Multiple Choice,Legs,[Missing Option Text],An amniotic egg,Endothermy,,2,
2120,How did the evolution of the jaw contribute to diversification of early vertebrate lineages?,Multiple Choice,It allowed for smaller body size.,It was the first stage in the development of a bony skull.,It paved the way for the evolution of the pharyngeal jaw.,It made additional food sources available.,It increased the surface area for respiration and feeding.,4,
2121,The distinguishing developmental feature of body endoskeleton is that it arises from __________.,Multiple Choice,endodermal cells,mesodermal cells,ectodermal cells,neural crest cells,,2,
2122,When bone tissue first evolved in vertebrates it was found in ___.,Multiple Choice,an endoskeleton,a head shield,a vertebra,a skull,a jaw,2,
2123,Which graph properly depicts the relationship between the amount of gas in the swim bladder and the density of the fish?,Multiple Choice,Graph 1,Graph 2,Graph 3 (Decreasing Linear),Graph 4,Graph 5,3,/static/images/q2123.png
2124,Which group's members have both lungs and gills during their adult lives?,Multiple Choice,Sharks skates and rays,Lungfishes,Lancelets,Turtles,Alligators,2,
2125,Which of the following could be considered the most recent common ancestor of living tetrapods?,Multiple Choice,A sturdy-finned ; shallow-water lobe-fin whose appendages had skeletal supports similar to those of terrestrial vertebrates,An armored jawed placoderm with two pairs of appendages,An early ray-finned fish that developed bony skeletal supports in its paired fins,An salamander that had legs supported by a bony skeleton but moved with the side-to-side bending typical of fishes,An early terrestrial caecilian whose legless condition had evolved secondarily,1,
2126,It is believed that the coelacanths and lungfish represent a crucial link between other fishes and tetrapods. What is the major feature in these fish in support of this hypothesis?,Multiple Choice,Like amphibians they are tied to the water for reproduction.,Their fins have skeletal and muscular structures similar to amphibian limbs.,They have highly evolved nervous and circulatory systems.,They have lungs and are able to breathe air when water is scarce.,They enter a hibernative stage when food is scarce as many tetrapods do.,2,
2127,Suppose ; while out camping in a forest ; you found a chordate with a long ; slender ; limbless body slithering across the ground near your tent. This critter could be __________.,Multiple Choice,3 only,2 3 and 4,1 2 and 5,3 and 4,4 only,4,
2128,What is believed to be the most significant result of the evolution of the amniotic egg?,Multiple Choice,Tetrapods were no longer tied to the water for reproduction.,Tetrapods could now function with just lungs.,It led to the evolution of the placenta.,Newborns are much less dependent on their parents.,Embryos are protected from predators.,1,
2129,Which structure of the amniotic egg most closely surrounds the embryo?,Multiple Choice,The chorion,The albumen,The yolk sac,The allantois,The amnion,5,
2130,Which of the following is found in many tetrapods but NOT in fish?,Multiple Choice,Extensive parental care,Asexual reproduction,Internal fertilization,Viviparity,Production of amniotic eggs,5,
2131,Which evolutionary innovation was most significant in helping tetrapods move to dry terrestrial environments?,Multiple Choice,The lung,The amniotic egg,Bone,Limb specialization,Endothermy,2,
2132,Which of these are amniotes?,Multiple Choice,Amphibians,Fishes,Turtles,Lungfish,,3,
2133,Internal fertilization ; a leathery amniotic egg ; and skin that resists drying are characteristics of __________.,Multiple Choice,amphibians,nonbird reptiles,chondrichthyans,mammals,birds,2,
2134,What group of mammals has (a) embryos that spend more time feeding through the placenta than the mother's nipples ; (b) young that feed on milk ; and (c) a prolonged period of maternal care after leaving the placenta?,Multiple Choice,Eutheria,Marsupiala,Monotremata,,,1,
2135,In what way are monotremes similar to more ancestral chordate lineages as opposed to more recently evolved mammals?,Multiple Choice,Monotremes lay eggs; other mammals bear live young.,Monotremes perform little parental care; other mammals use lactation to feed offspring.,Monotremes do not have jaws; other mammals do.,Monotremes are ectothermic; other mammals are endothermic.,Monotremes perform external fertilization; other mammals perform internal fertilization.,1,
2136,The evolution of similar insulating skin coverings such as fur ; hair ; and feathers in mammals and birds is a result of __________.,Multiple Choice,shared ancestry,convergent evolution,homology,evolutionary divergence,,2,
2137,Which of the following characteristics evolved independently in mammals and birds?,Multiple Choice,Bilateral symmetry,Amniotic eggs,Jaws,Bone,Endothermy,5,
2138,Mammals and birds eat more often than reptiles. Which of the following traits shared by mammals and birds best explains this habit?,Multiple Choice,Endothermy,Ectothermy,Insulating body cover,Amniotic egg,Terrestrial living,1,
2139,Unlike eutherians both monotremes and marsupials __________.,Multiple Choice,lack nipples,have some embryonic development outside the uterus,lay eggs,are found in Australia and Africa,include only insectivores and herbivores,2,
2140,What is the single unique characteristic that distinguishes extant birds from other extant vertebrates?,Multiple Choice,Endothermy,Feathers,An amniotic egg,Flight,A four-chambered heart,2,
2141,Suppose you traveled back in time and located the first animals to have evolved feathers. You found that these animals were tree-dwelling ectotherms ; able to run quickly but unable to fly. You also noticed that only males had feathers. Which hypothesis of feather evolution would these data most support? Feathers initially evolved in a role associated with __________.,Multiple Choice,flight,insulation,sexual selection,gliding,,3,
2142,"Use the following information to answer the question(s) below.

Due to its system of air sacs connected to the lungs, the respiratory system of birds is arguably the most effective respiratory system of all air-breathers. Upon inhalation, air first flows into posterior air sacs, then into the lungs, and then into anterior air sacs on the way to being exhaled. Thus, there is one-way flow of air through the lungs, along thousands of tubules called parabronchi. Which type of bird is most likely to benefit from air sacs ; which reduce its weight?",Multiple Choice,Birds ; such as geese ; which migrate great distances,Birds that chip away wood such as woodpeckers,Diving birds,Birds that rip apart prey such as hawks and eagles,,1,
2143,Primate evolution and behavior such as hunting skills have been directed in part by the development of depth perception. What anatomical change made depth perception possible?,Multiple Choice,A larger brain,Formation of compound eyes,Movement of eyes to the front of the head,Diurnal activity,,3,
2144,With which of the following statements would a biologist be most inclined to agree?,Multiple Choice,Humans and other apes represent divergent lines of evolution from a common ancestor.,Humans evolved from Old World monkeys.,Humans represent the pinnacle of evolution and have escaped from being affected by natural selection.,Humans evolved from chimpanzees.,Humans and other apes are the result of disruptive selection in a species of chimpanzee.,1,
2145,Which of the following are considered apes?,Multiple Choice,Lorises,New World monkeys,Old World monkeys,Orangutans,Tarsiers,4,
