Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
1823,You are examining a sample of seawater under the microscope and observe two different species utilizing amoeboid movement. What can you conclude about these species?,Multiple Choice,They are members of the Amoebozoa clade.,Their mechanism of movement must be a homologous feature.,They are likely closely related due to their similar cellular morphology.,Additional data from more detailed observations of cellular structures or DNA sequence information would be required before drawing conclusions.,,4,
1824,As fuels wood and coal _______.,Multiple Choice,are the main fuel sources in industrialized countries today,are formed from living or fossil plant,are both formed under pressure deep in the Earth,are sustainable as they are even now being made at high rates,,2,
1825,The major function of medicinal compounds in plants is to _______.,Multiple Choice,attract pollinators for seed dispersal,attract insects and birds to spread seeds and fruits,defend the plant against microbes,,,3,
1826,You want to get rid of your cough and stuffy nose and a friend offers you a cup of mint tea. After you drink the tea you realize that you are feeling relief from your symptoms. What plant compound was most likely found in the tea?,Multiple Choice,Quinine,Codeine,Menthol,Salacin,Morphine,3,
1827,In the figure [graphs of nitrogen loss] which graph of soil nitrogen loss over time most strongly supports the hypothesis that if the 20-cm-tall Dawsonia acts as a physical buffer then it reduces water’s ability to erode the soil and carry away its nitrogen?,Multiple Choice,Graph A,Graph B,Graph C,Graph D,,4,/static/images/q1827.png
1828,"If the actual results most closely resembled those in part (A) in the figure above, then a further question arising from these data is: ""Do the Dawsonia rhizoids have to be alive to reduce soil nitrogen loss, or do dead rhizoids have the same effect?"" Arrange the following steps in the correct sequence to test this hypothesis. (1. Add metabolic poison to the soil of the experimental plot of mosses. 2. Apply water equally to the experimental and control plots. 3. Measure initial soil nitrogen contents of control and experimental plots. 4. Determine nitrogen loss from the soil of control and experimental plots.. 5. Establish two identical plots of Dawsonia mosses; one as a control, the other as the
experimental treatment.)",Multiple Choice,5 -> 1 -> 3 -> 2 -> 4,5 -> 2 -> 3 -> 1 -> 4,5 -> 3 -> 1 -> 2 -> 4,4 -> 5 -> 1 -> 3 -> 2,5 -> 3 -> 2 -> 1 -> 4,3,/static/images/q1827.png
1829,Over human history which process has been most important in improving the features of plants long used by humans as staple foods?,Multiple Choice,Genetic engineering,Artificial selection,Natural selection,Sexual selection,Pesticide and herbicide application,2,/static/images/q1827.png
1830,According to the fossil record plants colonized terrestrial habitats _______.,Multiple Choice,in conjunction with insects that pollinated them,in conjunction with fungi that helped provide them with nutrients from the soil,to escape abundant herbivores in the oceans,only about 150 million years ago,,2,
1831,The most direct ancestors of land plants were probably _______.,Multiple Choice,kelp (brown alga) that formed large beds near the shorelines,green algae,photosynthesizing prokaryotes (cyanobacteria),liverworts and mosses,,2,
1832,Molecular phylogenies show all land plants are a monophyletic group. This suggests _______.,Multiple Choice,there were many different transitions from aquatic to terrestrial habitats,wind-pollinated plants arose first,land plants have undergone a diversification since they first colonized terrestrial habitats,there was a single transition from aquatic to terrestrial habitats,,4,
1833,About 450 million years ago the terrestrial landscape on Earth would have _______.,Multiple Choice,"looked very similar to that of today, with flowers, grasses, shrubs, and trees","been completely bare rock, with little pools that contained bacteria and cyanobacteria",been covered with tall forests in swamps that became today's coal,had nonvascular green plants similar to liverworts forming green mats on rock,,4,
1834,Which of the following would be evidence of the movement of plants from water to land?,Multiple Choice,Waxy cuticle to decrease evaporation from leaves,Loss of structures that produce spores,Sporopollenin to inhibit evaporation from leaves,Remnants of chloroplasts from photosynthesizing cells,,1,
1835,Which of these time intervals based on plant fossils came last (most recently)?,Multiple Choice,Extensive growth of gymnosperm forests,Silurian-Devonian explosion with fossils of plant lineages containing most of the major morphological innovations,Colonization of land by early liverworts and mosses,Rise and diversification of angiosperms,Carboniferous swamps with giant horsetails and lycophytes,4,
1836,Why are seedless vascular plants considered paraphyletic rather than monophyletic?,Multiple Choice,Some of the groups within the seedless vascular plants are more closely related to each other than to other groups (such as Lycophyta).,They share a more recent common ancestor with seeded plants than they do with the nonvascular plants.,All of the groups contained within the seedless vascular plants do not have the same ancestor.,The group includes their common ancestor but also the seeded descendants of that same ancestor.,,4,
1837,You find a green organism in a pond near your house and believe it is a plant not an alga. The mystery organism is most likely a plant and not an alga if it _______.,Multiple Choice,contains chloroplasts,is multicellular,is surrounded by a cuticle,does not contain vascular tissue,has cell walls that are comprised largely of cellulose,3,
1838,"Some green algae exhibit alternation of generations. All land plants exhibit alternation of generations. No charophytes (stoneworts) exhibit alternation of generations. Keeping in mind the recent evidence from molecular systematics, the correct interpretation of these observations is that _______.",Multiple Choice,charophytes are not related to either green algae or land plants,plants evolved alternation of generations independently of charophytes,alternation of generations cannot be beneficial to charophytes,land plants evolved directly from the green algae that did not perform alternation of generations,scientists have no evidence to indicate whether or not land plants evolved from any kind of alga,2,
1839,A waxy cuticle helps land plants _______.,Multiple Choice,comprise spore surface structures that catch the wind and assist in spore dispersal,reduce dehydration,make spores less dense and able to disperse more readily,repel toxic chemicals,provide nutrients to spores,2,
1840,"If humans had been present to build log structures during the Carboniferous period (though they were not!), which plant types would have been suitable sources of logs?",Multiple Choice,Whisk ferns and epiphytes,Horsetails and bryophytes,Lycophytes and bryophytes,"Ferns, horsetails, and lycophytes","Charophytes (stoneworts), bryophytes, and gymnosperms",4,
1841,Which of the following should have had gene sequences most similar to the charophyte (stonewort) that was the common ancestor of land plants?,Multiple Choice,Early angiosperms,Early bryophytes,Early gymnosperms,Early lycophytes,Early pterophytes,2,
1842,According to our current knowledge of plant evolution which group of organisms should feature cell division most similar to that of land plants?,Multiple Choice,Unicellular green algae,Cyanobacteria,Charophytes,Red algae,Multicellular green algae,3,
1843,Which set contains the most closely related terms?,Multiple Choice,"Megasporangium, megaspore, pollen, and ovule","Microsporangium, microspore, egg, and ovary","Megasporangium, megaspore, egg, and ovule","Microsporangium, microspore, carpel, and ovary",,3,
1844,Most moss gametophytes do not have a cuticle and are 1-2 cells thick. What does this imply about moss gametophytes and their structure?,Multiple Choice,They use stomata for gas-exchange regulation.,Photosynthesis occurs throughout the entire gametophyte surface.,They have branching veins in their leaves.,,,2,
1845,In the process of alternation of generations the _______.,Multiple Choice,sporophyte is haploid and produces gametes,sporophyte is diploid and produces spores,gametophyte is haploid and produces spores,gametophyte is diploid and produces gametes,spores unite to form a zygote,2,
1846,The herbicide 2;4-D affects the metabolism of dicots and kills most of them. What is a common feature of plants that are susceptible to 2;4-D?,Multiple Choice,Branching leaf veins,Flower parts in threes,One cotyledon in the seed,Vascular tissue scattered throughout the stem,,1,
1847,As you stroll through a moist forest you are most likely to see a _______.,Multiple Choice,zygote of a green alga,gametophyte of a moss,sporophyte of a liverwort,gametophyte of a fern,,2,
1848,Which of these are spore-producing structures?,Multiple Choice,Sporophyte (capsule) of a moss,Antheridium of a moss or fern,Archegonium of a moss or fern,Gametophyte of a moss,,1,
1849,Which of the following occurs in vascular land plants but NOT charophytes (stoneworts)?,Multiple Choice,Sporopollenin,Lignin,Chlorophyll a,Cellulose,Chlorophyll b,2,
1850,"Red, brown, and some green algae exhibit alternation of generations. All land plants exhibit alternation of generations. No charophytes (stoneworts) exhibit alternation of generations. Keeping in mind the recent evidence indicating charophytes are the sister group to land plants, we can infer _______.",Multiple Choice,charophytes are not related to red brown or green algae or land plants,alternation of generations likely evolved independently in land plants as well as in red and brown algae,alternation of generations is not beneficial to charophytes but could re-evolve over time,land plants evolved directly from the green algae that perform alternation of generations,scientists have no evidence to indicate whether or not land plants evolved from any kind of alga,2,
1851,Which of the following was a challenge to the survival of the first land plants?,Multiple Choice,Too much sunlight,A shortage of carbon dioxide,Desiccation,Animal predation,,3,
1852,Archegonia _______.,Multiple Choice,are sites where male gametes are produced,may contain sporophyte embryos,have the same function as sporangia,are ancestral versions of animal gonads,make asexual reproductive structures,2,
1853,Which of the following is TRUE of the life cycle of mosses?,Multiple Choice,The haploid generation grows on the sporophyte generation.,Spores are primarily distributed by water currents.,Antheridia and archegonia are produced by gametophytes.,The sporophyte generation is dominant.,The growing embryo gives rise to the gametophyte.,3,
1854,A botanist discovers a new species of plant in a tropical rain forest. After observing its anatomy and life cycle he notes the following characteristics: flagellated sperm xylem with tracheids separate gametophyte and sporophyte generations with the sporophyte dominant and no seeds. This plant is probably most closely related to _______.,Multiple Choice,mosses,charophytes (stoneworts),ferns,gymnosperms,flowering plants,3,
1855,If a fern gametophyte has both male and female gametangia on the same plant then it _______.,Multiple Choice,belongs to a species that is homosporous,has lost the need for a sporophyte generation,has antheridia and archegonia combined into a single sex organ,is actually not a fern because fern gametophytes are always either male or female,,1,
1856,"What feature of both true mosses and ferns makes it most surprising that they can survive for many generations in dry deserts, such as in Big Bend National Park?",Multiple Choice,Flagellated sperm,Lack of vascular tissues,Lack of true roots,Lack of cuticle,A gametophyte generation that is dominant,1,
1857,Which of the following features is most important for true mosses and ferns to reproduce in the desert?,Multiple Choice,That the sporophytes occupy only permanently shady north-facing habitats,That the sporophytes hug the ground growing no taller than a couple of inches,Either that their gametophytes grow close together or that they be hermaphroditic,That the sporophytes have highly lignified vascular tissues,That the gametophytes contain secondary compounds to deter herbivores,3,
1858,In plants which of the following are produced by meiosis?,Multiple Choice,Haploid sporophytes,Haploid gametes,Diploid gametes,Haploid spores,Diploid spores,4,
1859,Which of the following is a land plant that has flagellated sperm and a sporophyte-dominated life cycle?,Multiple Choice,Fern,Moss,Liverwort,Charophyte (stoneworts),Hornwort,1,
1860,Which of the following features of how seedless land plants get sperm to egg are the same as for some of their algal ancestors?,Multiple Choice,Conjugation tubes are formed between sperm and egg cells.,Packets of sperm are delivered by wind to the eggs.,Aquatic invertebrates carry sperm to eggs.,Flagellated sperm swim to the eggs in a water drop.,Flagellated sperm meet flagellated eggs in a water drop.,4,
1861,"Arrange the following in the correct sequence, from earliest to most recent, in which these plant traits originated. (1. Sporophyte dominance and gametophyte independence 2. Sporophyte dominance and gametophyte dependence 3. Gametophyte dominance and sporophyte dependence)",Multiple Choice,1 -> 2 -> 3,2 -> 3 -> 1,2 -> 1 -> 3,3 -> 2 -> 1,3 -> 1 -> 2,5,
1862,In terms of alternation of generations the internal parts of the pollen grains of seed-producing plants are most similar to a _______.,Multiple Choice,moss sporophyte,moss gametophyte bearing both male and female gametangia,fern sporophyte,fern gametophyte bearing only antheridia,,4,
1863,Which of the following statements correctly describes a portion of the pine life cycle?,Multiple Choice,Female gametophytes use mitosis to produce eggs.,Seeds are produced in pollen-producing cones.,Pollen grains contain female gametophytes.,A pollen tube slowly digests its way through the triploid endosperm.,The young seedling grows into a mature gametophyte.,1,
1864,Which of the following statements is TRUE of the pine life cycle?,Multiple Choice,Cones are homologous to the capsules of moss plants.,The pine tree is a gametophyte.,Male and female gametophytes are in close proximity during gamete synthesis.,Conifer pollen grains contain male gametophytes.,Double fertilization is a relatively common phenomenon.,4,
