Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
1967,You are observing a piece of tissue from an unknown organism. Which of the following observations would convince you that you are looking at animal tissue?,Multiple Choice,Microscopic analysis reveals that individual cells have cell walls.,Microscopic analysis reveals the presence of nerve cells.,Biochemical analysis indicates that the cells have photosynthetic capability.,Observation of either nerve cells or cell walls is an indication that the tissue comes from an animal.,Any of these observations are indications that the tissue comes from an animal.,2,
1968,Imagine you are on the way to Tahiti for a vacation but your plane crash-lands on a previously undiscovered island. You soon find that the island is teeming with unfamiliar organisms and you decide to survey them. You select three organisms and observe them in detail. Which organism would you classify as an animal?,Multiple Choice,Organism A,Organism B,Organism C,Organisms B and C,Organisms A B and C,3,
1969,"Use the following information to answer the question below.

Trichoplax adhaerens (Tp) is the only living species in the phylum Placozoa. Individuals are about 1 mm wide and only 27 ?m high, are irregularly shaped, and consist of a total of about 2000 cells, which are diploid (2n = 12). There are four types of cells, none of which are nerve or muscle cells, and none of which have cell walls. They move using cilia, and any edge can lead.
 Tp feeds on marine microbes, mostly unicellular green algae, by crawling atop the algae and trapping it between its ventral surface and the substrate. Enzymes are then secreted onto the algae, and the resulting nutrients are absorbed. Tp sperm cells have never been observed, nor have embryos past the 64-cell (blastula) stage.

Which of the following Tp traits is different from those of most other animals?",Multiple Choice,Tp is multicellular.,Tp digests food outside its body first and then absorbs resulting nutrients.,Tp has cilia.,Tp lacks cell walls.,,2,
1970,Both animals and fungi are heterotrophic. Animal heterotrophy can be distinguished from fungal heterotrophy in that most animals derive their nutrition by __.,Multiple Choice,preying on animals,ingesting food then digesting it,consuming living rather than dead organisms,using enzymes to digest their food,,2,
1971,Which of the following statements concerning animal taxonomy is (are) TRUE? 1. Animals are more closely related to plants than to fungi. 2. All animal clades based on body plan have been found to be incorrect. 3. Kingdom Animalia is monophyletic. 4. Animals only reproduce sexually. 5. Animals are thought to have evolved from flagellated protists similar to modern choanoflagellates.,Multiple Choice,1 and 2,3 and 5,3 4 and 5,2 and 4,,3,
1972,During the Cambrian explosion the characteristics of animals that appeared include __.,Multiple Choice,flying reptiles,mammals that could climb trees,swimming protostomes,armored reptiles,,3,
1973,Scientists rely on multiple lines of evidence to learn about animal phylogenetic relationships and evolutionary history. Each has benefits and drawbacks. Of the four main sources of evidence listed below which are more useful in determining the placement of ancient extinct organisms on a phylogenetic tree? 1. Fossil record 2. Comparative morphology 3. Comparative development 4. Comparative genomics,Multiple Choice,Only 1,1 2 and 3,3 and 4,1 and 2,All four– 1 2 3 and 4,4,
1974,If the current molecular evidence regarding animal origins is further substantiated in the future what will be TRUE of any contrary evidence regarding the origin of animals derived from the fossil record?,Multiple Choice,The contrary fossil evidence will be seen as a hoax.,The fossil evidence will be understood to have been interpreted incorrectly because it is incomplete.,The fossil record will henceforth be ignored.,Phylogenies involving even the smallest bit of fossil evidence will need to be discarded.,Only phylogenies based solely on fossil evidence will need to be discarded.,2,
1975,According to the evidence collected so far the animal kingdom is __.,Multiple Choice,monophyletic,paraphyletic,polyphyletic,euphyletic,multiphyletic,1,
1976,The last common ancestor of all animals was probably a __.,Multiple Choice,unicellular chytrid,unicellular yeast,multicellular algae,multicellular fungus,flagellated protist,5,
1977,Choanoflagellates___.,Multiple Choice,are usually parasitic,are motile as adults,are a sister group to animals,are animals,,3,
1978,All of the following support the sponges-first hypothesis for the origin of multicellularity in animals EXCEPT __.,Multiple Choice,a benthic lifestyle of choanoflagellates would support colonies of cells occurring together,a sponges feeding cells share similar structure to choanoflagellates,sponges possess genes that are involved in cell specialization,there are older fossils of sponges than any other animal group,ctenophores lack miRNAs while sponges have these gene regulators,5,
1979,Which tissue type or organ is NOT correctly matched with its germ layer tissue?,Multiple Choice,Nervous — mesoderm,Muscular — mesoderm,Digestive — endoderm,Skin — ectoderm,Skeletal — mesoderm,1,
1980,The digestive system of most animals is lined with cells through which nutrients are absorbed. What is the embryonic origin of these cells?,Multiple Choice,Endoderm,Ectoderm,Mesoderm,,,1,
1981,If you think of the earthworm body plan as a drinking straw within a pipe where would you expect to find most of the tissues that developed from endoderm?,Multiple Choice,Lining the inside of the straw,Lining the space between the pipe and the straw,Forming the outside of the pipe,,,1,
1982,In examining an unknown animal species during its embryonic development how can you be sure what you are looking at is a protostome and NOT a deuterostome?,Multiple Choice,There is evidence of cephalization.,There is a well-developed coelom.,The animal is triploblastic.,The animal is clearly bilaterally symmetrical.,The mouth develops first and the anus develops later.,5,
1983,At which developmental stage should one be able to first distinguish a diploblastic embryo from a triploblastic embryo?,Multiple Choice,Fertilization,Cleavage,Gastrulation,Coelom formation,Metamorphosis,3,
1984,In lab you dissect starfish earthworms and nematodes. During one of your lab dissections you notice that you must cut through a layer of muscle just under the skin. This reveals a space in which you see that the gut is also covered by a layer of muscle. For which of the following organisms would this be TRUE? 1. Starfish 2. Earthworm 3. Nematode,Multiple Choice,1 and 2,2 and 3,2 only,3 only,1 2 or 3,1,
1985,Suppose a researcher for a pest-control company developed a chemical that inhibited the development of an embryonic mosquito’s endodermal cells. Which of the following would be a likely mechanism by which this pesticide works?,Multiple Choice,The mosquito would have trouble digesting food due to impaired gut function.,The mosquito would have trouble with respiration and circulation due to impaired muscle function.,The mosquito wouldn’t be affected at all.,,,2,
1986,Muscle cells among animals are a result of divergent evolutionary paths yet all animals have homologous genes for __.,Multiple Choice,contractile proteins,mesodermal cells as muscle tissue,attachment sites on bone structures,muscle derived from cells lining the coelom,,1,
1987,An organism that exhibits cephalization probably also __.,Multiple Choice,is bilaterally symmetrical,has a hydrostatic skeleton,has a coelom,is segmented,is diploblastic,1,
1988,Which morphological trait evolved more than once in animals according to the phylogeny found in the accompanying figure?,Multiple Choice,Coelom,Bilateral symmetry,Segmentation,Mesodermal tissue,Protostome development,3,/static/images/q1988.png
1989,An adult animal that possesses bilateral symmetry would most likely be __.,Multiple Choice,triploblastic,a deuterostome,coelomates,diploblastic,,1,
1990,If an animal has a centralized nervous system it will also have __. 1. a complete gut 2. bilateral symmetry 3. radial symmetry 4. mesoderm 5. a definite head end (cephalization),Multiple Choice,1 and 2,1 2 4 and 5,1 3 and 4,2 4 and 5,2 and 5,4,
1991,Animals with a cephalized body structure would be better able to __.,Multiple Choice,detect and obtain food,extend a nerve net in all directions from a central point,remain as an acoelomate,,,1,
1992,Which of the following is a feature of the tube-within-a-tube body plan in most animal phyla?,Multiple Choice,The outer tube consists of a hard exoskeleton.,The outer tube consists of digestive organs.,The mouth and anus form the ends of the inner tube.,The two “tubes” are separated by tissue that comes from embryonic endoderm.,,3,
1993,Among Bilateria which morphological trait has shown the most variation?,Multiple Choice,Type of symmetry (bilateral versus radial versus none),Type of body cavity (coelom versus pseudocoelom versus no coelom),Number of embryonic tissue types (diploblasty versus triploblasty),Type of development (mouth first versus anus first versus neither),,2,
1994,Among the Bilatera which of the following statements is TRUE?,Multiple Choice,Deuterostomes have more variation in blastopore development than Protostomes.,Deuterostomes have more variation in number of embryonic tissue types that Protostomes.,Protostomes have more variation in type of symmetry than Deuterostomes.,,,1,
1995,You are carefully examining a living organism. Which of the following should convince you that the organism is acoelomate?,Multiple Choice,It is triploblastic.,It has bilateral symmetry.,It possesses sensory structures at its anterior end.,Muscular activity of its digestive system distorts the outer body wall.,,4,
1996,What was an early selective advantage of a coelom in animals? A coelom __.,Multiple Choice,contributed to a hydrostatic skeleton allowing greater range of motion,was a more efficient digestive system,allowed cephalization and the formation of a cerebral ganglion,allowed asexual and sexual reproduction,,1,
