Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
1768,The protist lineage includes all eukaryotes EXCEPT _______.,Multiple Choice,"land plants, fungi, and archaea","fungi, archaea, and bacteria","animals, land plants, and fungi","archaea, bacteria, and animals","animals, land plants, and archaea",3,
1769,Why isn't the protist lineage considered a monophyletic group?,Multiple Choice,Archaea are a descendent of the common ancestor of protists.,Bacteria are a descendent of the common ancestor of protists.,"Animals, land plants, and fungi are descendants of the common ancestor of protists.",Algae and Amoebozoa are descendants of the common ancestor of protists.,,3,
1770,When a mosquito infected with Plasmodium first bites a human the Plasmodium _______.,Multiple Choice,"gametes fuse, forming an oocyst",cells infect the human liver cells,cells cause lysing of the human red blood cells,oocyst undergoes meiosis,,2,
1771,Protists from which of the following taxonomic groups are most likely to lead to paralytic shellfish poisoning?,Multiple Choice,Dinoflagellata,Giardia,Plasmodium,Toxoplasma,Euglena,1,
1772,All protists are _______.,Multiple Choice,eukaryotic,symbionts,monophyletic,mixotrophic,,1,
1773,Protists and bacteria are grouped into different domains because _______.,Multiple Choice,protists eat bacteria,bacteria are not made of cells,"protists have a membrane-bounded nucleus, which bacterial cells lack",bacteria decompose protists,protists are photosynthetic,3,
1774,Which of the following statements is consistent with the assertion that protists are paraphyletic?,Multiple Choice,There is no common set of synapomorphies that define a protist.,Protists all share a common set of synapomorphies.,Protists are all more primitive than land plants and animals.,Protists are more closely related to each other than to other groups of eukaryotes.,,1,
1775,According to the phylogenetic tree in the accompanying figure G. intestinalis constitutes a _______ group.,Multiple Choice,paraphyletic,monophyletic,polyphyletic,,,1,/static/images/q1775.png
1776,According to the phylogenetic tree in the accompanying figure G. microti would form a monophyletic group with which other species?,Multiple Choice,A and B,C and D,C alone,D alone,,4,/static/images/q1776.png
1777,By examining the phylogenetic tree diagrammed in the accompanying figure what conclusion can you draw about the species G. microti?,Multiple Choice,It evolved before G. intestinalis.,It is more closely related to G. muris than to G. intestinalis.,It should not be labeled a species distinct from G. intestinalis.,It is part of a monophyletic group that also includes G. intestinalis.,,4,/static/images/q1777.png
1778,Which of the following statements best describes the term synapomorphy?,Multiple Choice,A trait that is shared by more than one monophyletic group,A trait that evolved in the most recent common ancestor of a monophyletic group,The state of having several traits in common with different monophyletic groups,A trait that evolved in several different monophyletic groups simultaneously,,2,
1779,"The microsporidian Brachiola gambiae parasitizes the mosquito Anopheles gambiae... If humans are to safely and effectively use Brachiola gambiae as a biological control to reduce human deaths from malaria, then which of the following statements should be TRUE? (1. Brachiola should kill the mosquitoes before the malarial parasite they carry reaches maturity. 2. The microsporidian should not be harmful to other insects. 3. Microsporidians should infect mosquito larvae rather than mosquito adults. 4. The subsequent decline in anopheline mosquitoes should not significantly disrupt human food resources or other food webs. 5. Brachiola must be harmful to male mosquitoes but not to female mosquitoes.)",Multiple Choice,2 and 5,"1, 2, 3, and 4","1, 2, and 4","2, 3, and 5",3 and 4,3,
1780,Encouraging the growth (via nutrient fertilization) of photosynthetic protists in marine environments may help reduce global warming because _______.,Multiple Choice,photosynthetic protists are primary consumers in many marine food chains,"photosynthetic protists fix atmospheric carbon dioxide, decreasing atmospheric carbon dioxide levels",the increased oxygen consumption by large populations of photosynthetic protists will increase photosynthesis in land plants,"photosynthetic protists would release a lot of oxygen, and fertilizing them would increase levels of oxygen in the atmosphere",,2,
1781,Which of the following might be a result of adding a secondary consumer to the aquatic ecosystem in the accompanying illustration?,Multiple Choice,A decrease in the number of primary consumers,A decrease in the population of decomposers,An increase in atmospheric carbon dioxide,An increase in the population of scavengers,A decrease in the carbon sink,1,/static/images/q1781.png
1782,Which of the following eukaryotic lineages contains many species that lack functioning mitochondria?,Multiple Choice,Excavata,Rhizaria,Amoebozoa,Stramenopila,,1,
1783,"Which major eukaryotic lineages form the Bikonta, a monophyletic group characterized by two flagella as a synapomorphy?",Multiple Choice,"Rhizaria, Plantae, Amoebozoa, Opisthokonta, Excavata","Alveolata, Stramenopila, Rhizaria, Plantae, Excavata","Rhizaria, Plantae, Excavata","Amoebozoa, Opisthokonta","Alveolata, Stramenopila",2,
1784,Refer to the study by Poulsen et al. and the accompanying figure... Which of the following conclusions is reasonable based on the figure?,Multiple Choice,Formation of actin fibers is not necessary for the movement in this species of diatom.,The buffer alone largely inhibited movement in this species of diatom.,"In this species of diatom, fully formed actin fibers are necessary for movement.",,,3,/static/images/q1784.png
1785,Refer to the study by Poulsen et al. and the accompanying figure... Which of the following would be the best evidence that latrunculin A is NOT killing the cells?,Multiple Choice,"When the toxin was washed off the culture, the cells began to move again.",There was still a small percentage of motile cells in the culture treated with the toxin.,"Most of the cells in the control were moving, indicating that they were alive.","When the toxin was applied to another species of diatom, 25 percent of them continued to move.",,1,/static/images/q1784.png
1786,Refer to the study by Poulsen et al. Cultures of a species of diatom were treated with BDM a reversible inhibitor of myosin function. Which of the following predictions is consistent with the hypothesis that an actin-myosin interaction is necessary for motility?,Multiple Choice,BDM will significantly decrease motility of the cells in culture.,BDM will not significantly alter motility of the cells in culture.,BDM will significantly increase motility of the cells in culture.,,,1,/static/images/q1784.png
1787,A particular species of protist has obtained a chloroplast via secondary endosymbiosis. You know this because the chloroplasts _______.,Multiple Choice,have nuclear and cyanobacterial genes,are exceptionally small,have three or four membranes,have only a single pigment,,3,
