Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
The most recent common ancestor of apples and roses is more recent than the most recent common ancestor of roses and red algae.,"True/""False",1,"""False",,,,1,,,
This tree shows that red algae evolved into green algae which evolved into mosses which evolved into ferns and so on.,"True/""False",1,"""False",,,,2,,,
The red algae that live today are the common ancestors of all other organisms in this tree.,"True/""False",1,"""False",,,,2,,
This tree shows that red algae are the lowest form of life of this group.,"True/""False",1,"""False",,,,2,,
This tree could be rotated so that the branch for red algae is on the bottom rather than the top of the tree.,"True/""False",1,"""False",,,,1,,
Evolution in a population of sea turtles can be caused by which of the following agent(s)?,Multiple Choice,Natural selection,Genetic drift,Gene flow,All of the above can be agents.,,4,,
Which of the following terms refers to the hypothetical grouping of all the alleles from all the gametes produced in each generation by a group of organisms?,Multiple Choice,Gamete pool,Gene pool,Punnett square,,,2,,
Under what conditions would you expect a population to be in Hardy-Weinberg equilibrium?,Multiple Choice,When there is a high mutation rate,When there is significant gene flow between populations,When natural selection favors specific genotypes,"When mating is random, there is no mutation, no gene flow, no genetic drift, and the population is large",,4,,
What is the significance of the Hardy-Weinberg equilibrium in a population?,Multiple Choice,It ensures that all individuals have equal reproductive success.,It indicates that the population is evolving over time.,It suggests that there are no external influences affecting the population.,It demonstrates that the frequency of alleles remains constant from generation to generation in the absence of evolutionary forces.,,4,,
For biologists studying a large flatworm population in the lab which Hardy-Weinberg condition is most difficult to meet?,Multiple Choice,No selection,No genetic drift,No gene flow,No mutation,Random mating,4,,
For a biologist studying a small fish population in the lab which Hardy–Weinberg condition is easiest to meet?,Multiple Choice,No selection,No genetic drift,No gene flow,No mutation,Random mating,3,,
People with cystic fibrosis (CF) are homozygous recessive... If 9 in 10000 newborn babies have the disease what are the expected frequencies of the dominant (A1) and recessive (A2) alleles according to the Hardy-Weinberg model?,Multiple Choice,"p = 0.9997, q = 0.0003","p = 0.9800, q = 0.0200","p = 0.9700, q = 0.0300","p = 0.9604, q = 0.0392",,3,,
In a population of yellow pea plants the gene for seed color has a dominant allele (Y) for yellow seeds and a recessive allele (y) for green seeds. Out of 300 plants 75 have green seeds. Assuming the population is in Hardy-Weinberg equilibrium what is the frequency of the dominant allele (Y)?,Multiple Choice,0.5,0.25,0.75,0.4,,1,,
Suppose 64 percent of people living in a remote isolated mountain village can taste phenylthiocarbamide (PTC)... If this population conforms to Hardy-Weinberg expectations... what percentage of the population must be heterozygous for this trait?,Multiple Choice,16 percent,32 percent,40 percent,48 percent,60 percent,4,,
Refer to the accompanying figure (Milkweed population). Is this population in Hardy-Weinberg equilibrium?,Multiple Choice,Yes.,No; there are more heterozygotes observed in the population than expected.,No; there are more homozygotes observed in the population than expected.,It is impossible to tell.,,3,,
When nonrandom mating occurs in a population so that individuals prefer to mate with similar individuals allele frequencies should _______.,Multiple Choice,"remain the same, but homozygotes will be overrepresented in the population.","remain the same, but heterozygotes will be overrepresented in the population.","change, and heterozygotes will be overrepresented in the population.","change, and homozygotes will be overrepresented in the population.","remain the same, at Hardy-Weinberg equilibrium.",1,,
Why doesn’t inbreeding depression by itself cause evolution?,Multiple Choice,It decreases the population’s average fitness.,It limits gene flow.,It does not change the population’s allele frequencies.,It increases homozygosity.,It violates the Hardy-Weinberg assumptions.,3,,
A population of plants is exposed to prolonged drought conditions leading to the survival of those with traits that confer drought resistance. What is the likely impact of natural selection on the allele frequencies in this population?,Multiple Choice,Allele frequencies remain constant.,Alleles for drought resistance increase in frequency.,Genetic drift becomes the dominant factor.,The population becomes more susceptible to drought.,,2,,
A population of insects has developed resistance to a pesticide due to a rare genetic mutation. Individuals with this mutation have a higher chance of survival. What is the impact of natural selection on the fitness of these resistant individuals?,Multiple Choice,Fitness is unrelated to resistance.,Natural selection decreases the overall fitness of the population.,Natural selection increases the fitness of individuals with the resistance mutation.,Fitness is determined solely by genetic drift.,,3,,
In a population of gazelles individuals with longer legs are better at escaping predators leading to higher survival rates and increased reproductive success. What term best describes the reproductive success of these individuals?,Multiple Choice,Genetic drift,Adaptation,Fitness,Mutation,,2,,
Examine the accompanying figure. What type of selection for body size appears to be occurring in these marine iguanas?,Multiple Choice,Directional selection,Stabilizing selection,Disruptive selection,You cannot determine the type of selection from the above information.,,2,,
Wikelski and Romero (2003) found that large marine iguanas had higher reproductive success... Thus Wikelski and Romero hypothesized that iguana size will _______ as global climate change increases air and water temperatures in the Galápagos Islands.,Multiple Choice,increase,decrease,stabilize around the mean body size,remain unchanged,,1,,
If predators (e.g. cats) that preferentially catch and eat slower iguanas are introduced to the island iguana body size is likely to _______ in the absence of other factors; the iguanas would then be under _______ selection.,Multiple Choice,increase; directional,increase; disruptive,decrease; directional,decrease; disruptive,stay the same; stabilizing,3,,
Which of the following types of selection is most likely to be found in a large lake (open water in the middle and shallow water around the sides) with a high density of these fish [whitefish with variable gill rakers]?,Multiple Choice,Directional selection,Stabilizing selection,Disruptive selection,Sexual selection,,3,,
Which of the graphs shown best represents the relationship between the intensity of directional selection and the genetic variation present within a population?,Multiple Choice,Graph A,Graph B,Graph C,Graph D,Graph E,1,,
Which of the following is most likely to produce an African butterfly species in the wild whose populations show two strikingly different color patterns?,Multiple Choice,Artificial selection,Directional selection,Stabilizing selection,Disruptive selection,Sexual selection,4,,
Most Swiss starlings produce four to five eggs in each clutch. Starlings producing fewer or more than this have reduced fitness. Which of the following terms best describes this situation?,Multiple Choice,Artificial selection,Directional selection,Stabilizing selection,Disruptive selection,Sexual selection,3,,
The recessive allele that causes sickle cell anemia in humans is harmful to homozygous individuals. What maintains the presence of this allele in a population’s gene pool?,Multiple Choice,Heterozygote advantage,Stabilizing selection,Diploidy,,,1,,
In seedcracker finches... if long-term climatic change resulted in all seeds becoming hard what type of selection would then operate on the finch population?,Multiple Choice,Disruptive selection,Directional selection,Stabilizing selection,No selection would operate because the population is in Hardy-Weinberg equilibrium.,,2,,
Soon after the island of Hawaii rose above the sea surface... the evolution of life on this new island should have been most strongly influenced by _______.,Multiple Choice,a genetic bottleneck,sexual selection,founder effects,random mating,,3,,
If this observed trait difference [in UCSD Juncos] were due to a difference in the original colonizing population it would most likely be due to _______.,Multiple Choice,mutations in the UCSD population,sexual selection,gene flow between populations,a genetic bottleneck,a founder effect,5,,
The Dunkers are a religious group that moved from Germany to Pennsylvania... Which of the following likely explains the genetic uniqueness of this population?,Multiple Choice,Population bottleneck and Hardy-Weinberg equilibrium,Mutation and natural selection,Founder effect and inbreeding,Founder effect inbreeding and genetic drift,,4,,
In a small population of alpine foxes you observe increased ear length over a 10-year period. Can you conclude that increase in ear length is advantageous in this population?,Multiple Choice,Yes,No,,,,2,,
Genetic drift occurs in a population. Which of the following statements might be TRUE?,Multiple Choice,Genetic drift increased the population’s fitness.,Genetic drift decreased the population’s fitness.,The population was relatively small.,The population experiences a decrease in genetic variation.,Any of these statements can be true.,5,,
The cause of genetic drift is sampling error which occurs _______.,Multiple Choice,when allele frequencies of a chosen subset of a population are different from those in the total population by selection,when allele frequencies of a chosen subset of a population are different from those in the total population by chance,when allele frequencies of a chosen subset of a population are the same as those in the total population by selection,when allele frequencies of a chosen subset of a population are the same as those in the total population by chance,,2,,
An earthquake decimates a ground squirrel population killing 98 percent of the squirrels. The surviving population happens to have broader stripes... what effect has the ground-squirrel population experienced?,Multiple Choice,Directional selection,Disruptive selection,A founder event,A genetic bottleneck,Gene flow,4,,
Although each of the following has a better chance of influencing gene frequencies in small populations than in large populations which one most consistently requires a small population as a precondition for its occurrence?,Multiple Choice,Mutation,Nonrandom mating,Genetic drift,Natural selection,Gene flow,3,,
What is the primary mechanism responsible for gene flow between populations?,Multiple Choice,Natural selection,Mutation,Genetic drift,Migration,,4,,
