Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
Darwin and Wallace’s theory of evolution by natural selection was revolutionary because it _______.,Multiple Choice,was the first theory to refute the ideas of special creation,proved that individuals acclimated to their environment over time,dismissed the idea that species are constant and emphasized the importance of variation and change in populations,was the first time a biologist had proposed that species changed through time,,3,,,
The Greek philosopher Plato claimed that every organism was an example of a perfect essence created by God and that they were unchanging. What type of thinking is Plato’s description of species?,Multiple Choice,Typological,Organismal,Evolutionary,Scientifically supported,,1,,,
Lamarck developed a hypothesis to explain the inheritance of traits that is often referred to as the “inheritance of acquired characters.” This idea suggests that _______.,Multiple Choice,as an individual develops its genotype changes in response to challenges posed by the environment and it passes on phenotypic changes to offspring,as an embryo develops its mother’s phenotype changes in response to challenges posed by the environment and the mother passes on these phenotypic changes to offspring,as an individual develops its genotype changes in response to challenges posed by the environment and it passes on these genotypic changes to offspring,as an individual develops its phenotype changes in response to challenges posed by the environment and it passes on these phenotypic changes to offspring,,4,,
When comparing Plato’s typological thinking with Darwin and Wallace’s theory of natural selection what is a key difference between these two approaches?,Multiple Choice,Plato’s approach emphasizes gradual change while Darwin and Wallace propose abrupt changes.,Plato’s approach is based on empirical observations while Darwin and Wallace’s theory relies on philosophical reasoning.,Plato’s approach involves the idea of an ideal form while Darwin and Wallace’s theory emphasizes change and adaptation.,Plato’s approach focuses on artificial selection while Darwin and Wallace’s theory centers on natural selection.,,3,,
Imagine two fossils are found in different layers of sedimentary rock. Fossil A is found in a lower layer and Fossil B is found in a higher layer. What can be inferred about the relative ages of these fossils?,Multiple Choice,Fossil A is older than Fossil B.,Fossil B is older than Fossil A.,Fossil A and Fossil B are of the same age.,You cannot tell without doing radiometric dating the relative ages of Fossil A and Fossil B.,,1,,
If x indicates the location of fossils of two closely related species then fossils of their most recent common ancestor are most likely to occur in which stratum? (A-top B-middle C-lower middle D-bottom),Multiple Choice,A,B,C,D,,3,,
The giant sloth described by Georges Cuvier suggests that _______.,Multiple Choice,organisms could not have originated by special creation,organisms could go extinct,the great flood or some other catastrophe caused the evolution of new species,the Earth is old enough for evolution to have occurred,,2,,
Fossils of Thrinaxodon a species that lived during the Triassic period have been found in both South Africa and Antarctica. Thrinaxodon had a reptile-like skeleton and laid eggs but small depressions on the front of its skull suggest it had whiskers and therefore fur. Thrinaxodon may have been warm-blooded. The fossils of Thrinaxodon are consistent with the hypothesis that _______.,Multiple Choice,fossils found in a given area look like the modern species in that same area,the environment where it lived was very warm,mammals evolved from a reptilian ancestor,Antarctica and South Africa separated after Thrinaxodon went extinct,,3,,
What must be TRUE of any organ described as vestigial?,Multiple Choice,It must be analogous to some feature in an ancestor.,It must be homologous to some feature in an ancestor.,It must be both homologous and analogous to some feature in an ancestor.,It needs to be neither homologous nor analogous to some feature in an ancestor.,,2,,
Which of the pairs of plant structures below are homologous?,Multiple Choice,Oak tree root and leaf,Rose bush stem and flower,Rose bush leaf and oak tree leaf,There are no homologous plant structures.,,3,,
About thirteen different species of finches inhabit the Galápagos Islands today all descendants of a common ancestor from the South American mainland... If the six ground finch species have evolved most recently then which of these is the most logical prediction?,Multiple Choice,They should be limited to the six islands that most recently emerged from the sea.,They should be genetically more similar to each other than are the genomes of the five tree finch species.,They should share fewer anatomical homologies with each other than they share with the tree finches.,The chances of hybridization between two ground finch species should be less than the chances of hybridization between two tree finch species.,,2,,
Many crustaceans (e.g. lobsters shrimp and crayfish) use their tails to swim but crabs have reduced tails that curl under their shells and are not used in swimming. This is an example of _______.,Multiple Choice,convergent evolution,a homologous structure,natural selection,a vestigial trait,,4,,
