Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
2026,Which of the following statements is NOT true regarding protostome diversity?,Multiple Choice,Of the 30 animal phyla more than 2/3 are protostomes.,There are more mollusk species than annelid species.,There are more lophotrochozoans than ecdysozoans.,Nearly all protostome species are insects.,,3,
2027,The protostome developmental sequence arose just once in evolutionary history resulting in two main subgroups—Lophotrochozoa and Ecdysozoa. What does this finding most likely suggest?,Multiple Choice,The two subgroups have a common ancestor that was a deuterostome.,The protostomes are a polyphyletic group.,Division of these two groups occurred after the protostome developmental sequence appeared.,The lophotrochozoans are monophyletic.,,3,
2028,The common ancestor of the protostomes had a coelom. What does this suggest?,Multiple Choice,All lophotrochozoans have a coelom.,There are no pseudocoelomates within the protostomes.,There are no acoelomates within the protostomes.,The coelom evolved before the lophophore.,,4,
2029,A terrestrial animal species is discovered with the following larval characteristics: exoskeleton system of tubes for gas exchange and modified segmentation. A knowledgeable zoologist should predict that the adults of this species would also feature ___.,Multiple Choice,eight legs,a sessile lifestyle,an open circulatory system,parapodia,,3,/static/images/q2029.png
2030,Refer to the accompanying figure. Suppose new molecular analyses indicated that the phylum Annelida had diverged from the arthropod lineage after Onychophora and Tardigrada. What would this imply about protostome evolution? 1. Segmentation evolved only once within protostomes. 2. The annelid lineage gained and then lost the ability to molt. 3. The annelid lineage gained and then lost jointed limbs.,Multiple Choice,1 2 and 3,2 and 3,Only 3,1 and 2,1 and 3,4,
2031,The presence of a lophophore in a newly discovered species would suggest that the species _______.,Multiple Choice,has an exoskeleton,grows by shedding its external covering,is more closely related to an arthropod than a mollusk,is more closely related to an annelid than a roundworm,,4,
2032,Which one of the following is a lophotrochozoan?,Multiple Choice,Crustaceans,Arthropods,Mollusks,Chelicerata,Nematoda,3,
2033,You find what you believe is a new species of animal. Which of the following characteristics would enable you to argue that it is more closely related to a flatworm than it is to a roundworm?,Multiple Choice,It has a cuticle that it sheds to grow.,It lacks appendages.,It has no coelom.,It has a mouth and an anus.,,3,
2034,Arthropods invaded land about 100 million years before vertebrates did so. This most clearly implies that _______.,Multiple Choice,arthropods evolved before vertebrates did,extant terrestrial arthropods are better adapted to terrestrial life than are extant terrestrial vertebrates,ancestral arthropods must have been poorly adapted to aquatic life and thus experienced a selective pressure to invade land,vertebrates evolved from arthropods,arthropods have had more time to coevolve with land plants than have vertebrates,5,
2035,Adaptations to terrestrial environments evolved independently in arthropods ; mollusks ; nematodes ; and annelids. What logical conclusion would you make from this statement?,Multiple Choice,All these groups have a coelom.,The common ancestor of all these groups was probably aquatic.,All these groups have the same type of body plan.,All these groups lost their coelom after moving to land.,,2,
2036,A _______ is a crown of ciliated tentacles that functions in feeding.,Multiple Choice,trochophore,cuticle,characteristic of some ecdysozoans,,,3,
2037,Which of the following organisms would you expect to have the largest external surface-area-to-volume ratio? Assume that all of the following are the same total length.,Multiple Choice,A mollusk,An annelid,An arthropod,A platyhelminth,,4,
2038,You find a wormlike animal while scuba diving and want to determine whether it is a nudibranch (mollusk) a polychaete (annelid) or a flatworm (platyhelminth). Finding which of the following traits would best help you classify the mystery animal?,Multiple Choice,A segmented body,A coelom,A distinct head end,A mouth and an anus,Sexual reproduction,1,
2039,Which one of these mollusk groups can be classified as suspension feeders?,Multiple Choice,Bivalves,Gastropods,Chitons,Cephalopods,,1,
2040,Which mollusk group can be described as having several calcium carbonate plates along their dorsal side?,Multiple Choice,Bivalves,Gastropods,Chitons,,,3,
2041,What would be the best anatomical feature to look for to distinguish a gastropod from a chiton?,Multiple Choice,Presence of a muscular foot,Presence of a rasp-like feeding structure,Production of eggs,Number of shell plates,,4,
2042,What is the only group of Mollusca that does NOT have a radula?,Multiple Choice,Bivalves,Gastropods,Chitons,Cephalopods,All mollusks have a radula.,1,
2043,A cephalopod’s tentacles are modified from its _______.,Multiple Choice,mantle,n,foot,shell,radula,3,
2044,In terrestrial mollusks which of the following is modified for gas exchange?,Multiple Choice,Mantle cavity,Coelom,Incurrent siphon,Visceral mass,Excurrent siphon,1,
2045,A mollusk without a shell could belong to which clade? 1. Chitons 2. Bivalves 3. Gastropods 4. Cephalopods,Multiple Choice,3 only,4 only,2 only,1 and 3,3 and 4,5,
2046,A land snail a clam and an octopus all have ___.,Multiple Choice,a mantle,a radula,gills,a shell,,1,
2047,Nematodes and arthropods both _______.,Multiple Choice,have incremental steady growth,have appendages,grow by shedding their skin,are segmented,have ciliated trochophore larvae,3,
2048,Upon close inspection of movement in annelids and nematodes you would notice an obvious difference. Nematodes tend to wriggle back and forth while annelids tend to contract along their length as their girth swells and then thin out as they stretch. What anatomical feature explains this type of movement?,Multiple Choice,The annelids possess longitudinal muscle fibers that the nematodes lack.,The nematodes possess circular muscle fibers that annelids lack.,Nematodes lack a coelom.,Annelids have a highly specialized nervous system capable of more complex movements.,,2,
2049,The heartworms that can accumulate within the hearts of dogs and other mammals have a pseudocoelom an alimentary canal and an outer covering that is occasionally shed. To which phylum does the heartworm belong?,Multiple Choice,Platyhelminthes,Arthropoda,Nematoda,Annelida,,3,
2050,A student observes a wormlike organism crawling about on dead organic matter. Later ; the organism sheds its outer covering. One possibility is that the organism is a larval insect (like a maggot) (P. arthropoda). However ; it could also be a member of the phylum _______ ; and one way to distinguish between the two possibilities is by looking for the presence or absence of _______.,Multiple Choice,Platyhelminthes; a cuticle of chitin,Nematoda; an alimentary canal,Annelida; a body cavity,Nematoda; segmentation,Annelida; muscle in the body wall,4,
2051,Tardigrades differ from arthropods in that they _______.,Multiple Choice,have unjointed appendages,have a segmented body,shed their skin,have some form of coelom,,1,
2052,Velvet worms rely on a sticky slime that they spray to ensnare prey. After they bite the prey they inject digestive enzymes and consume the liquefied tissue. This feeding method is most similar to some species of ___.,Multiple Choice,flatworms,annelids,arthropods,nematodes,gastropods,3,
2053,In addition to providing a space for circulation of nutrients the hemocoel in arthropods ___.,Multiple Choice,provides a space to digest food,forms a cavity to protect the visceral mass of organs,acts as a hydrostatic skeleton for mobility,functions as an internal lung,,3,
2054,On which body segment are arthropod wings attached?,Multiple Choice,Head,Abdomen,Thorax,Evenly split between the abdomen and thorax,,3,
2055,Which of the following are characteristics of arthropods? 1. Protostome development 2. Bilateral symmetry 3. A pseudocoelom 4. Three embryonic germ layers 5. A closed circulatory system,Multiple Choice,1,1 and 2,1 2 and 4,2 3 4 and 5,2 and 3,3,
2056,The body cavity type for arthropods and mollusks can best be described as _______.,Multiple Choice,a coelom,a pseudocoelom,no coelom,,,3,
2057,Among the invertebrate phyla phylum Arthropoda is unique in possessing members that have ___.,Multiple Choice,a cuticle,appendages,open circulation,wings,segmented bodies,4,
2058,A shared derived characteristic for members of the arthropod subgroup that includes spiders would be the presence of _______.,Multiple Choice,chelicerae,an open circulatory system,an exoskeleton,a cuticle,a cephalothorax,1,
2059,You find a multilegged animal in your garden and want to determine if it is a centipede or a millipede. You take the animal to a university where a myriapodologist quickly tells you that you have found a centipede. Which of the following may have allowed her to make this distinction?,Multiple Choice,It has a long-segmented trunk.,It has one pair of legs per segment.,The total number of legs of the organism.,The organism is terrestrial not aquatic.,It molts.,2,
