Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
The phenetic approach to estimating phylogenetic trees is most like the approach of which species concept?,Multiple Choice,Morphospecies Concept,Biological Species Concept,Phylogenetic Species Concept,,,1,,,
The cladistic approach to estimating phylogenetic trees is most like the approach of which species concept?,Multiple Choice,Morphospecies Concept,Biological Species Concept,Phylogenetic Species Concept,,,3,,,
You have obtained data on genetic similarity among five species... What approach can you take to construct a phylogeny using these data?,Multiple Choice,Use phenetic analysis to cluster similar species.,Use cladistic analysis to infer the branching sequence.,Use parsimony to identify monophyletic groups.,None of the above answers is correct.,,1,,
Which of the following trees depicts the same relationship among species as shown above?,Multiple Choice,Tree A,Tree B,Tree C,None; the above trees all depict a different relationship among species.,,2,,
Which of the following would be useful in creating a phylogenetic tree of a taxon?,Multiple Choice,Morphological data from fossil species,Genetic sequences from living species,Behavioral data from living species,All of the above,None of the above,4,,
Your professor wants you to construct a phylogenetic tree of orchids. She gives you tissue from seven orchid species and one lily. What is the most likely reason she gave you the lily?,Multiple Choice,To serve as an out-group,To see if it's a cryptic orchid species,To see if the lily and the orchids show all the same shared derived characters (synapomorphies),To see if you were paying attention,,1,,
Which of the following statements best describes the rationale for applying the principle of parsimony in constructing phylogenetic trees?,Multiple Choice,"Parsimony allows the researcher to ""root"" the tree.",Similarity due to common ancestry should be more common than similarity due to convergent evolution.,The molecular clock validates the principle of parsimony.,"The out-group roots the tree, allowing the principle of parsimony to be applied.",,2,,
In the phylogenetic trees above numbers represent species and the same species are shown in both trees. Which two species are represented as sister species in Tree 2 but are not shown as sister species in Tree 1?,Multiple Choice,1 and 2,2 and 3,3 and 4,6 and 5,The two trees show all the same phylogenetic relationships.,3,,
"Applying the principle of parsimony to the trait """"ability to fly"""" which of the two phylogenetic trees above is better?",Multiple Choice,Tree 1,Tree 2,Both trees are equally parsimonious.,,,1,,
Which of the following statements is true about a phylogeny as represented by a phylogenetic tree?,Multiple Choice,Descendant groups (branches) from the same node do not necessarily share any derived characters.,A monophyletic group can be properly based on convergent features in addition to synapomorphies.,The ancestral group is often identified by out-group analysis.,All of the above answers are correct.,None of the above answers are correct.,3,,
Which of the following traits is useful in generating a phylogeny of species W X Y and Z? (Refer to table),Multiple Choice,Trait 1,Trait 2,Trait 3,All of the above are useful traits.,,2,,
Which of the following is an example of homoplasy?,Multiple Choice,Fur in bears and seals,Cell walls in plants and fungi,Chlorophyll in flowering plants and algae,Scales in snakes and lizards,,2,,
For the streamlined bodies shown in Figure 27.7 above to be homologous instead of homoplasious which of the following groups would also have to have streamlined bodies?,Multiple Choice,Lizards and elephants,"Pterosaurs, dinosaurs, birds, and lizards","Synapsids, monotremes, marsupials, elephants, primates, and rodents",All of the above,Either B or C,4,,
Some beetles and flies have antler-like structures on their heads... The existence of antlers in beetle fly and deer species with strong male-male competition is an example of _______.,Multiple Choice,convergent evolution,a synapomorphy,homology,parsimony,,1,,
Which of the following organisms would be most likely to fossilize?,Multiple Choice,A rare worm,A common worm,A rare squirrel,A common squirrel,,4,,
Which of the following would be least likely in the fossil record?,Multiple Choice,Burrowing species,Marine-dwelling species,Marsh-dwelling species,Desert-dwelling species,,4,,
You find a new fossil deposit containing many species with shells but no soft-bodied species. What is the most logical conclusion?,Multiple Choice,There were no soft-bodied organisms at this time and location.,Conditions were not right to fossilize soft-bodied organisms.,There was a mass extinction event among hard-bodied but not soft-bodied species at this location.,,,2,,
The angiosperm fossil record contains an overabundance of samples fossilized near lakes or rivers where vines are especially common... This potential bias in paleobotanical climate estimates is due to which type of bias in the fossil record?,Multiple Choice,Taxonomic bias,Temporal bias,Habitat bias,Abundance bias,,3,,
Which listing of geological periods is in the correct order from oldest to most recent?,Multiple Choice,"Cambrian, Devonian, Permian, Cretaceous","Devonian, Cambrian, Permian, Cretaceous","Cambrian, Permian, Devonian, Cretaceous","Permian, Cambrian, Cretaceous, Devonian",,1,,
